song_id,song_name,artist,album,song_popularity,if_info_collected
,1000年后日落,银河骑士GalaxyKnight,1000年后日落,null,0
,愛野 美奈子,银河骑士GalaxyKnight,愛野 美奈子,null,0
,传琦SAM-ALOVE HEART∨(银河骑士李 者板 Remix),银河骑士GalaxyKnight,她 ，就 是 东 京,null,0
,七寶7UP,银河骑士GalaxyKnight,七寶7UP,null,0
,Cat Blues,菅野よう子,COWBOY BEBOP (Original Motion Picture Soundtrack),null,0
,誰にもわからない私の痛み(没有人会明白的我的痛苦),宇都美慶子,誰にもわからない私の痛み,null,0
,SAD! $ WIING WIING(翻自 XXXTENTACION),郑杰伦,SAD! $ WI ING WI ING,null,0
,Sexy dandy,Meiko Nakahara,mint,null,0
,神仙歌,"左宏元, 吕祯晃, 尤景仰, 张真",新白娘子传奇 电视原声带,null,0
,HOLIDAY,Achordion,Life,null,0
,Heart Song,Al Wiliams,Heart Song,null,0
,Surprise (Cha Cha Cha/31 BPM),Alessandro Olivato,Latin Feel The Rhythm,null,0
,VOODOO LOVE,Ariana Grande,VOODOO LOVE,null,0
,(Let's) Rock And Roll,Atlantic Starr,Ultimate Collection,null,0
,谁的情人劫(Remix-Fisherman),"AY楊佬叁, 大熊等于煎蛋, Gilis",情人节,null,0
,Treehouse,Beakers,Treehouse.,null,0
,Got lt Bad (And That Ain't Good),Benny Goodman,Three Classic Albums Plus (Benny Goodman in Moscow Record One / Benny Goodman in Moscow Record Two / Happy Session) [Remastered],null,0
,The Sun Don't Shine,Betty Wright,Sevens,null,0
,Heart,blanc.0,Life,null,0
,Untitled Track,Blonde Redhead,Melody of Certain Damaged Lemons,null,0
,Let's Straighten lt Out,Boneshakers,Book Of Spells,null,0
,Poetic Justice (BRll Edit),BRII,Poetic Justice (BRII Edit),null,0
,It Can Get Better Than A Kiss,By Chance,Gotta Get That Lovin,null,0
,Cocoa Funk,Carlos Franzetti,Grafitti,null,0
,Music,Carmen McRae,Can't Hide Love,null,0
,郭富城-《对你爱不完》Remix,"CDE, 性感的拖鞋OneFly",《对你爱不完》Remix,null,0
,Horny,CeeLo Green,Begin Again (Music From and Inspired By the Original Motion Picture),null,0
,The End Of The World,"Chet Baker, Bud Shank",L.A. Noire - Jazz Inspired By The Video Game,null,0
,Bouquet~ずっとふたりで~,CHIHIRO,DRESS,null,0
,Ding Dong DANCE,CHIHIRO,DRESS,null,0
,Miss U part ll ~恋してた~,CHIHIRO,DRESS,null,0
,I Hate Love,Claude Kelly,I Hate Love,null,0
